Town,Ceremonial county
Abingdon-on-Thames,Oxfordshire
Accrington,Lancashire
Acle,Norfolk
Acton,Greater London
Adlington,Lancashire
Alcester,Warwickshire
Aldeburgh,Suffolk
Aldershot,Hampshire
Alford,Lincolnshire
Alfreton,Derbyshire
Alnwick,Northumberland
Alsager,Cheshire
Alston,Cumbria
Alton,Hampshire
Altrincham,Greater Manchester
Amble,Northumberland
Ambleside,Cumbria
Amersham,Buckinghamshire
Amesbury,Wiltshire
Ampthill,Bedfordshire
Andover,Hampshire
Appleby-in-Westmorland,Cumbria
Arlesey,Bedfordshire
Arundel,West Sussex
Ashbourne,Derbyshire
Ashburton,Devon
Ashby-de-la-Zouch,Leicestershire
Ashford,Kent
Ashington,Northumberland
Ashton-under-Lyne,Greater Manchester
Askern,South Yorkshire
Atherstone,Warwickshire
Attleborough,Norfolk
Axbridge,Somerset
Axminster,Devon
Aylesbury,Buckinghamshire
Aylsham,Norfolk
